,imdb_id,director_id
400,tt0030879,93
401,tt0030944,203
402,tt0030993,109
403,tt0031022,230
404,tt0031047,129
405,tt0031060,231
406,tt0031066,232
407,tt0031106,223
408,tt0031107,223
409,tt0031108,223
410,tt0031143,233
411,tt0031147,226
412,tt0031148,234
413,tt0031149,226
414,tt0031208,235
415,tt0031210,92
416,tt0031235,116
417,tt0031259,168
418,tt0031322,122
419,tt0031334,236
420,tt0031381,206
421,tt0031381,158
422,tt0031398,203
423,tt0031448,237
424,tt0031455,175
425,tt0031477,197
426,tt0031491,238
427,tt0031505,54
428,tt0031514,239
429,tt0031536,168
430,tt0031580,240
431,tt0031580,241
432,tt0031602,197
433,tt0031614,242
434,tt0031647,174
435,tt0031678,226
436,tt0031679,109
437,tt0031709,243
438,tt0031725,13
439,tt0031826,116
440,tt0031851,244
441,tt0031880,202
442,tt0031885,95
443,tt0031951,212
444,tt0031971,55
445,tt0031983,245
446,tt0032022,232
447,tt0032047,131
448,tt0032049,212
449,tt0032135,246
450,tt0032138,206
451,tt0032138,158
452,tt0032143,185
453,tt0032145,191
454,tt0032152,247
455,tt0032152,248
456,tt0032164,205
457,tt0032164,249
458,tt0032234,30
459,tt0032245,242
460,tt0032247,122
461,tt0032258,250
462,tt0032261,223
463,tt0032262,223
464,tt0032263,223
465,tt0032285,137
466,tt0032313,251
467,tt0032315,222
468,tt0032338,252
469,tt0032339,253
470,tt0032342,222
471,tt0032342,254
472,tt0032349,41
473,tt0032376,255
474,tt0032376,256
475,tt0032391,243
476,tt0032404,225
477,tt0032412,257
478,tt0032420,205
479,tt0032420,249
480,tt0032428,258
481,tt0032455,259
482,tt0032455,260
483,tt0032484,54
484,tt0032520,247
485,tt0032536,231
486,tt0032551,55
487,tt0032553,23
488,tt0032599,126
489,tt0032610,261
490,tt0032617,129
491,tt0032635,261
492,tt0032637,122
493,tt0032653,262
494,tt0032701,191
495,tt0032703,263
496,tt0032753,242
497,tt0032762,96
498,tt0032811,72
499,tt0032818,181
500,tt0032828,30
501,tt0032832,205
502,tt0032832,249
503,tt0032871,264
504,tt0032871,265
505,tt0032873,122
506,tt0032881,208
